old_indication;index;old_indication_normalized
"prostate cancer; biochemical recurrence; androgen deprivation therapy; metastases-free survival";13579;"bc; recurrence; nadt; pfs os mfs"
"prostate cancer; biochemical recurrence of malignant neoplasm of prostate";13580;"bc; malignant neoplasm"
"prostate cancer; biochemical recurrence";13581;"bc; recurrence"
"prostate cancer; benign prostate hyperplasia";13582;"bc; bph eh aeh"
"prostate cancer; anal cancer; squamous cell cancer; melanoma; lung cancer";13583;"bc; bc; bc; melanoma; bc"
"prostate cancer; adenocarcinoma; unfavorable intermediate-risk patients";13584;"bc; adenocarcinoma; critically ill pediatric hospitalized tracheostomy cirrhotic"
prostate cancer disease;13585;bc
prostate cancer adenocarcinoma;13586;bc
prostate cancer - biochemical recurrence;13587;crpc
"prostate adenocarcinoma; recurrent prostate cancer";13588;"adenocarcinoma; bc"
"prostate adenocarcinoma; prostate cancer";13589;"adenocarcinoma; bc"
"prostate adenocarcinoma; castration sensitive prostate cancer";13590;"adenocarcinoma; crpc"
prostate adenocarcinoma;13591;adenocarcinoma
promyelocytic leukemia;13592;leukemia
proliferative glomerulonephritis with monoclonal igg deposits;13593;dep glomerulonephritis
progressive metastatic neuroendocrine tumors;13594;pnet
progressive lymphoma;13595;lymphoma
progressive glioblastoma;13596;gbm
progressive castration resistant prostate cancer;13597;crpc
progressive - recurrent or primarily high-risk pediatric malignancies;13598;t-cell malignancies gynecological malignancies pediatric malignancies
primary tracheal squamous cell cancer;13599;nsclc
"primary sjogrens syndrome; high-risk lymphoma";13600;"rds mets cad ibs rtis; lymphoma"
"primary peritoneal cancer; high ovarian cancer; high ovarian cancer";13601;"bc; bc; bc"
"primary myelofibrosis; postpolycythemia vera mf; postessential thrombocythemia mf";13602;"pmf; pvmf; et et petm et eo"
"primary myelofibrosis; post-essential thrombocythemia myelofibrosis; et-mf; post";13603;"pmf; pmf; et-mf; ptsd"
primary myelofibrosis (pmf), post-essential thrombocythemia myelofibrosis (pet-;13604;"pmf; pet-myelofibrosis"
primary myelofibrosis (pmf), post polycythemia vera myelofibrosis (pv), post essential th;13605;"pmf; pvmf; et et petm et eo"
primary myelofibrosis;13606;pmf
"primary mediastinal large b-cell lymphoma (pmbcl); refractory pmbcl; recurrent pmbcl; ep";13607;"dlbcl; refractory; recurrent; ep"
primary mediastinal large b cell lymphoma;13608;dlbcl
primary mediastinal b-cell lymphoma;13609;dlbcl
primary malignant bra;13610;asthma
"primary lung cancer; lung cancer";13611;"bc; bc"
primary localised prostate cancer;13612;crpc
"primary liver cancer; hepatobiliary cancers";13613;"bc; cancers"
primary intraocular lymphoma (piol);13614;cns lymphoma
primary intraocular lymphoma;13615;lymphoma
primary hepatocellular cancer;13616;bc
"primary hepatic cancer; unresectable hepatocellular cancer";13617;"bc; bc"
"primary hepatic cancer; hepatic cancer; benign hepatic cancer";13618;"bc; bc; bc"
primary hepatic cancer;13619;bc
primary glioblastoma;13620;gbm
"primary extranodal lymphoma; dlbcl";13621;"lymphoma; dlbcl"
primary cns tumors;13622;solid tumors
"primary cns lymphoma; diffuse large b-cell lymphoma";13623;"lymphoma; dlbcl"
primary cns lymphoma (pcnsl), diffuse large b cell lymphoma (dlbcl);13624;"cns lymphoma; dlbcl"
primary cns lymphoma;13625;lymphoma
"primary central nervous system lymphoma; secondary central nervous system lymphoma; relapsed cancer; refractory cancer";13626;"cns lymphoma; cns lymphoma; bc; bc"
"primary central nervous system lymphoma; secondary central nervous system lymphoma";13627;"cns lymphoma; cns lymphoma"
"primary central nervous system lymphoma; non-hodgk";13628;"cns lymphoma; nhl"
"primary central nervous system lymphoma; non hodgk";13629;"cns lymphoma; nhl
chs
chs
niu
rh"
"primary central nervous system lymphoma; lymphomas non-hodgkins";13630;"cns lymphoma; nhl"
"primary central nervous system lymphoma; lymphoma; high";13631;"cns lymphoma; lymphoma; htn"
primary central nervous system lymphoma pcnsl;13632;cns lymphoma
primary central nervous system lymphoma (pcnsl);13633;cns lymphoma
primary central nervous system lymphoma;13634;cns lymphoma
primary central nervous system diffuse large b-cell lymphoma;13635;dlbcl
primary central nervous system diffuse large b cell lymphoma;13636;dlbcl
"primary central nervous system cancer; solid cancer bra";13637;"cns lymphoma; bc"
primary central nervous system b-cell lymphoma;13638;dlbcl
"primary cancer; second cancer";13639;"bc; bc"
primary breast cancer;13640;bc
"primary brain cancer; recurrent glioma";13641;"bc; glioma"
primary and secondary peritoneal metastases;13642;ppc
primary and secondary myelofibrosis;13643;ssp dysmenorrhea glomerular diseases lesions myelofibrosis
previously untreated nodal tfh cell lymphoma;13644;ptcl ctcl b-nhl t-lymphoblastic lymphoma m
previously treated ret fusion- non-small cell lung cancer;13645;nsclc
previously treated homologous recombination repair-deficient recurrent or metastatic triple-negative;13646;hrd tumors
previously treated advanced hla-g-positive solid tumors;13647;solid tumors
prevention of weight loss;13648;stomach inflation prevention ankle sprain prevention vaping prevention hypotension prevention radiation
prevention of oral mucositis;13649;oral mucositis
prevention of nausea and vomiting caused by highly emetogenic chemotherapy;13650;ponv
prevention of chemotherapy-induced myelosuppression;13651;stomach inflation prevention ankle sprain prevention vaping prevention hypotension prevention radiation
prevention of breast cancer;13652;bc
pre-treated advanced pulmonary or gastroenteropancreatic poorly differentiated neuroendocrine carcin;13653;pd thyroid cancer
pre-terminal cancer;13654;bc
"preoperative anxiety; breast cancer";13655;"anxiety; bc"
premenopausal women;13656;pmw
"premenopausal breast cancer; hormone receptor- breast cancer";13657;"bc; bc"
premenopausal breast cancer;13658;bc
premalignant oral epithelial lesions;13659;oral lesions
precursor t-cell lymphoblastic leukemia-lymphoma;13660;t-cell all t-all b-cell all atll lymphoblastic lymphoma
precursor b-cell lymphoblastic leukemia-lymphoma;13661;t-cell all t-all b-cell all atll lymphoblastic lymphoma
precursor b-cell lymphoblastic leukemia;13662;all
precursor b- lymphoblastic leukemia;13663;all
"pre-cancerous cervical lesions; human papillomavirus infection";13664;"cervical neoplasia; uti"
potentially resectable hepatocellular cancer;13665;unresectable hcc
"postviral fatigue syndrome; diffuse large b-cell lymphoma";13666;"rds mets cad ibs rtis; dlbcl"
post-transplant lymphoproliferative disorder (ptld);13667;ebv-ptld
"postprocedural shock; neoplasm of uncerta";13668;"shock; qol gb disorders pulp necrosis gb calculus ureter calculus"
post-operative prostate cancer;13669;bc
postoperative prevention of cancer;13670;stomach inflation prevention ankle sprain prevention vaping prevention hypotension prevention radiation
postoperative pharyngalgia;13671;postop complications postop postop sore throat postop recovery postop pa
"postoperative hypoxemia; postoperative respiratory infection";13672;"postop complications postop postop sore throat postop recovery postop pa; rds mets cad ibs rtis"
postoperative complications after gastrectomy;13673;postop complications postop postop sore throat postop recovery postop pa
postoperative and pa;13674;ponv
post-mastectomy upper limb lymphedema;13675;upper limb ortho surg
postmastectomy lymphedema syndrome;13676;rds mets cad ibs rtis
postembolization syndrome;13677;rds mets cad ibs rtis
post-breast cancer lymphedema;13678;bc
"post-abortion pregnancy remnants; incomplete spontaneous abortion without complication";13679;"pregnancy; incomplete spontaneous abortion without complication"
post tace syndrome, post embolization syndrome, hcc;13680;"rds mets cad ibs rtis; rds mets cad ibs rtis; hcc"
post oral cavity surgery;13681;oral health
post operative cognitive dysfunction;13682;pocd
"poorly differentiated thyroid cancer; anaplastic thyroid cancer";13683;"pd thyroid cancer; bc"
"poor prognosis cervico-facial lymphatic malformations; lymphangima";13684;"cervico-facial lymphatic malformations; lymphangima"
"polycythemia vera; essential thrombocythemia; myelofibrosis; myelodysplastic syndrom";13685;"pvmf; et et petm et eo; pmf; mds"
"polycythemia vera (pv); hydroxyurea-resistant; intolerant pv";13686;"pvmf; hydroxyurea-resistant; intolerant pv"
polycythemia vera (pv);13687;pvmf
poly solid cancers;13688;solid tumors
poisoning by antineoplastic drugs;13689;hallucinogen poisoning antineoplastic poisoning
"poems syndrome; amyloidosis; autoimmune hemolytic anemia; vasculitis";13690;"rds mets cad ibs rtis; amyloidosis; anemia; anca vasculitis"
"pneumonia; anastomotic leakage; esophageal cancer";13691;"pneumonia; anastomotic leak; bc"
pmmrmss t4m0 colon cancer;13692;liver mets
plexiform neurofibromas;13693;plexiform nf
pleuropulmonary blastoma;13694;pleuropulmonary blastoma
"pleural mesothelioma; non-small cell lung cancer";13695;"mesothelioma; nsclc"
pleural mesothelioma;13696;mesothelioma
pleural mesothelial neoplasm;13697;mpn mets stomach neoplasm lung neoplasm pancreatic neoplasm
platinum-sensitive recurrent ovarian cancer;13698;epithelial ovarian cancer
"platinum-resistant recurrent ovarian cancer; solid cancer";13699;"epithelial ovarian cancer; bc"
platinum-resistant recurrent ovarian cancer;13700;epithelial ovarian cancer
"platinum-resistant recurrent epithelial ovarian cancer; fallopian tube cancer; primary peritoneal ca";13701;"epithelial ovarian cancer; bc; peritoneal"
platinum-resistant recurrent epithelial ovarian cancer;13702;epithelial ovarian cancer
"platinum-resistant ovarian cancer; refractory ovarian cancer";13703;"bc; bc"
"platinum-resistant ovarian cancer; recurrent ovary cancer; ovarian cancer";13704;"bc; bc; bc"
"platinum-resistant ovarian cancer; primary peritoneal cancer; fallopian tube cancer";13705;"bc; bc; bc"
"platinum-resistant ovarian cancer; platinum-resistant fallopian tube cancer; platinum-resistant prim";13706;"bc; ft rftc prftc ng tube placement ftea; platinum-resistant prim"
"platinum-resistant ovarian cancer; platinum-refractory ovarian cancer; fallopian tube cancer; primary peritoneal cancer; high- ovarian cancer; endometrioid ovarian cancer; ovarian clear ce";13707;"bc; bc; bc; bc; bc; bc; ovarian dysfunction"
"platinum-resistant ovarian cancer; other cdh6- cancers; renal cell cancer";13708;"bc; cancers; bc"
"platinum-resistant ovarian cancer; fallopian tube cancer; primary peritoneal cancer";13709;"bc; bc; bc"
"platinum-resistant ovarian cancer; endometrial cancer; cervical cancer";13710;"bc; bc; bc"
platinum-resistant ovarian cancer;13711;bc
platinum-resistant high-grade ovarian, primary peritoneal, or fallopian tube cancer;13712;"ovarian dysfunction; peritoneal; ft rftc prftc ng tube placement ftea"
platinum-resistant high grade serous ovarian cancer;13713;epithelial ovarian cancer
"platinum-resistant fallopian tube cancer; recurrent ovarian cancer; refractory primary periton";13714;"ft rftc prftc ng tube placement ftea; bc; pbc"
"platinum-resistant epithelial ovarian cancer; fallopian tube cancer; primary peritoneal cancer";13715;"epithelial ovarian cancer; bc; bc"
platinum-resistant epithelial ovarian cancer;13716;epithelial ovarian cancer
platinum-resistant advanced high-grade epithelial ovarian, primary peritoneal, or fallopian tube can;13717;"epithelial ovarian cancer; peritoneal; ft rftc prftc ng tube placement ftea"
"platinum-refractory ovarian cancer; platinum-resistant ovarian cancer; platinum-resistant fallopian tube cancer; platinum-resistant primary peritoneal cancer; platinum-refractory fallopian tu";13718;"bc; bc; ft rftc prftc ng tube placement ftea; ppc; ft rftc prftc ng tube placement ftea"
platinum-refractory or platinum-resistant recurrent ovarian cancer;13719;epithelial ovarian cancer
platinum sensitive recurrent ovarian cancer;13720;epithelial ovarian cancer
"platinum resistant ovarian cancer; non-small cell adenocarcinoma";13721;"crpc; nsclc"
"platinum resistant ovarian cancer; non small cell lung cancer";13722;"crpc; nsclc"
plasmablastic lymphoma;13723;lymphoma
plasma cell neoplasms;13724;neoplasms
plasma cell myeloma refractory;13725;pcn
plasma cell myeloma;13726;mm
plasma cell mastitis;13727;gca lch mrls nsclc sct
plasma cell leukemia;13728;leukemia
pik3ca-related overgrowth spectrum (pros), pik3ca-related vascular malformations (prvm);13729;"pros; pik3ca-related vascular malformations"
pik3ca-related overgrowth spectrum (pros);13730;pros
"pik3ca-mutated solid cancers; head and neck squamous cell cancer";13731;"solid tumors; nsclc"
pik3ca-mutated cancers;13732;cancers
"pik3ca-mutant hrher2- breast cancer; locally advanced or metastatic breast cancer";13733;"bc; bc"
pik3ca mutation-related tumors;13734;solid tumors
phyllodes cancer of breast;13735;bc
ph-positive acute lymphoblastic leukemia (all);13736;all
phosphaturic mesenchymal tumors;13737;solid tumors
philadelphia-negative b-cell precursor acute lymphoblastic leukemia (all);13738;all
"philadelphia-negative all; philadelphia-positive all; relapsed all; adult refractory acute lymphobla";13739;"allergy; allergy; allergy; rr cd19 b-cell malignancies"
philadelphia-chromosome lymphoblastic leukemia;13740;leukemia
philadelphia-chromosome leukemia;13741;leukemia
philadelphia- myeloproliferative neoplasms;13742;neoplasms
philadelphia chromosome-positive b-acute lymphoblastic leukemia (ph+ b-all);13743;all
"philadelphia chromosome- lymphoblastic leukemia; t-cell lymphoblastic lymphoma";13744;"all; lymphoma"
philadelphia- all;13745;allergy
"pheochromocytoma; paraganglioma; pancreatic neuroendocrine tumors; von hippel-lindau vhl disease-associated tumors; gastrointestinal stromal cancer wt gist; solid tumors";13746;"pheochromocytoma; pgl; solid tumors; von hippel-lindau vhl disease-associated tumors; gist; solid tumors"
"pheochromocytoma; paraganglioma; pancreatic neuroendocrine cancer; von hippel-lindau disease; gastrointestinal stromal cancer; hif-2a mutated cancers";13747;"pheochromocytoma; pgl; bc; ckd cad aki ed scd; bc; cancers"
"pheochromocytoma; paraganglioma";13748;"pheochromocytoma; pgl"
pheochromocytoma;13749;pheochromocytoma
phase myeloid leukemia;13750;leukemia
"phase cml; ph leukemias";13751;"cml; saliva ph"
pharynx or larynx cancer;13752;solid cancer
pharyngeal neoplasm;13753;mpn mets stomach neoplasm lung neoplasm pancreatic neoplasm
ph lymphoblastic leukemia;13754;leukemia
ph all;13755;allergy
pfa;13756;psfa
"persistent; recurrent; cervical cancer";13757;"pc; recurrent; bc"
persistent, recurrent, or metastatic cervical cancer;13758;"pc; recurrent; metastatic salivary gland cancer msgc"
perivascular epithelioid cell cancer pecoma;13759;nsclc
peritoneal neoplastic disease;13760;ckd cad aki ed scd
peritoneal metastasis of gastric cancer;13761;ppc
"peritoneal metastases; colorectal cancer";13762;"liver mets peritoneal mets liver transplant brain mets; bc"
peritoneal metastases of colorectal origin;13763;apical periodontitis uterine infertility organic impotence colorectal peritoneal
peritoneal metastases from colorectal cancer;13764;mcrc crc laparoscopic radical resection unresectable crc
